,class
14385,neg
32008,neg
23601,neg
34031,neg
15175,neg
32528,neg
2067,neg
29892,neg
18411,neg
26165,pos
8337,neg
8889,neg
14251,neg
19464,neg
20314,neg
16105,neg
34477,neg
31731,neg
12091,neg
16183,neg
3861,neg
2422,neg
27626,neg
34962,neg
19921,neg
2762,neg
20925,neg
29624,neg
30582,neg
12269,neg
27780,neg
14206,neg
10341,neg
11298,neg
19385,neg
5031,neg
11533,neg
3562,neg
27535,neg
30550,neg
17089,neg
24810,neg
30798,neg
35177,neg
2264,neg
5253,neg
5245,neg
35617,neg
17719,neg
23320,neg
2290,neg
9125,neg
33154,neg
35971,neg
13195,neg
14653,neg
33637,neg
8723,neg
5495,neg
26632,neg
30255,neg
26162,neg
15993,neg
27608,neg
23214,neg
6392,neg
10709,neg
9602,neg
8137,neg
18912,neg
12035,neg
12527,neg
12475,neg
16722,neg
27233,neg
13734,neg
4049,neg
5719,neg
19919,neg
10031,neg
11452,neg
16160,neg
31860,neg
1631,neg
2038,neg
19748,neg
33147,neg
30265,neg
4388,neg
30295,neg
9351,neg
20402,neg
7669,neg
23491,neg
28101,neg
9253,neg
29388,neg
23179,neg
8120,neg
16911,neg
16886,neg
13770,neg
30755,neg
18272,neg
33273,neg
12090,neg
2877,neg
17822,neg
5741,neg
26722,neg
19313,neg
19506,neg
5924,neg
18733,neg
4650,neg
35466,neg
34224,neg
16712,neg
18152,neg
24645,neg
16914,neg
31040,neg
29793,neg
31603,neg
35581,neg
24818,neg
9596,neg
26522,neg
14630,neg
13300,neg
4591,neg
9459,neg
14924,neg
13182,neg
24865,neg
17955,neg
32143,neg
17794,neg
34941,neg
16073,neg
27665,neg
8343,neg
12820,neg
20909,neg
5739,neg
31865,neg
2338,neg
11913,neg
4327,neg
20268,neg
34101,neg
31217,neg
24597,neg
31602,neg
2710,neg
22515,neg
4364,neg
31104,neg
32040,neg
4022,neg
20689,neg
1925,neg
23646,neg
35623,neg
29356,neg
4285,neg
11223,neg
24445,neg
10340,neg
17214,neg
17172,neg
34818,neg
26245,neg
9847,neg
25068,neg
27165,neg
31741,neg
35769,neg
31493,neg
12941,neg
29524,neg
26152,neg
21473,neg
7029,neg
17772,neg
5108,neg
762,neg
3047,neg
27260,neg
17508,neg
5929,neg
24482,neg
19910,neg
8276,neg
28861,neg
10996,neg
30723,neg
29282,pos
11697,neg
23431,neg
8020,neg
25139,neg
33821,neg
24802,neg
3150,neg
27130,neg
31564,neg
25047,neg
22889,neg
25553,neg
17414,neg
14384,neg
26789,neg
1948,neg
24314,neg
12465,neg
34296,neg
10769,neg
28138,neg
7194,neg
969,pos
19130,neg
34723,neg
21233,neg
32172,neg
1168,neg
5368,neg
14734,neg
33723,neg
14013,neg
30731,neg
12716,neg
35786,neg
24795,neg
35480,neg
8592,neg
24007,neg
24201,neg
23722,neg
15777,neg
17356,neg
2056,neg
15641,neg
32697,neg
29170,neg
2153,neg
5969,neg
3282,neg
13879,neg
3743,neg
9335,neg
1146,neg
4882,neg
16032,neg
10144,neg
20995,neg
14049,neg
10315,neg
1918,pos
28653,neg
17364,neg
19746,neg
18961,neg
23099,neg
10433,neg
18836,neg
9306,neg
19973,neg
11760,pos
1588,neg
24209,neg
32765,neg
1687,neg
7324,neg
20514,neg
34972,neg
1007,neg
2790,neg
2724,neg
18768,neg
32084,neg
31867,neg
30564,neg
14610,neg
7119,neg
25631,neg
13661,neg
19059,neg
5487,neg
18688,neg
16610,neg
17000,neg
773,neg
9155,neg
11662,neg
21418,neg
5392,neg
17007,neg
31332,neg
27601,neg
11487,neg
28121,neg
5055,neg
29951,neg
21308,neg
26117,neg
32560,neg
9879,neg
9639,neg
7013,neg
30626,neg
6320,neg
938,neg
10186,neg
10394,neg
21251,neg
29250,neg
26056,neg
28176,neg
17972,neg
27323,neg
8195,neg
8971,neg
19198,neg
10453,neg
11578,neg
29413,neg
34098,neg
6232,neg
26233,neg
1016,neg
2869,neg
8984,neg
34593,neg
18175,neg
6323,neg
14228,neg
17522,neg
31665,neg
27313,neg
12898,neg
21909,neg
20529,neg
1217,neg
1166,neg
29800,neg
13756,neg
1036,neg
26098,neg
25197,neg
9539,neg
18811,neg
24630,neg
30840,neg
17755,neg
27693,neg
6103,neg
33654,neg
8648,neg
29446,neg
14506,neg
11367,neg
36088,neg
20369,neg
23251,neg
2867,neg
32489,neg
1176,neg
24920,neg
19337,neg
11806,neg
3033,neg
30513,neg
20090,neg
32106,neg
30702,neg
871,neg
35514,neg
8876,neg
16232,neg
8554,neg
17622,neg
1445,neg
34795,neg
15328,neg
12576,neg
16235,neg
148,pos
31893,neg
9087,neg
26701,neg
11125,neg
5460,neg
35774,neg
21986,neg
3584,neg
1917,neg
